tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
219783,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,683 Duncan St,1.0,Sidewalk: Curb side : Cutout,Private,,3.0,Width 3ft,37.74551234,-122.4355934
98364,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,698@Montana Plymouth Ave,2.0,Sidewalk: Curb side : Cutout,Private,2/7/2012,,3x3,37.7163801,-122.4558151
109188,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,482 46th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/2/2015,3.0,3x3,37.77943562,-122.5071776
38102,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1325 27th Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/13/1998,13.0,,37.76271396,-122.4857397
92409,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,2194 36th Ave,3.0,Sidewalk: Curb side : Cutout,Private,7/29/2009,,3x3,37.74613492,-122.4940188
52180,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1881 15th St,1.0,Sidewalk: Curb side : Cutout,Private,11/1/2005,10.0,3x3,37.76622766,-122.4260197
219728,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2119 Harrison St,1.0,Sidewalk: Curb side : Cutout,Private,,15.0,Width 3ft,37.76353278,-122.4128436
121206,Significant Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree,930 Chestnut St,2.0,Sidewalk: Curb side : Cutout,Private,11/22/2016,3.0,3x3,37.80312232,-122.4187469
29192,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3109 Ortega St,1.0,Sidewalk: Curb side : Cutout,DPW,3/18/2006,3.0,3X3,37.75134546,-122.4975832
25387,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1209 Geneva Ave,1.0,Sidewalk: Curb side : Cutout,DPW,6/25/1996,25.0,3X3,37.71433686,-122.4358277
90914,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3050X Anza St,1.0,Sidewalk: Curb side : Cutout,DPW,11/10/2008,3.0,3x3,37.77840105,-122.4811665
47942,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,494 Joost Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/26/2002,,,37.73240873,-122.4464356
188007,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1310 Indiana St,2.0,: Yard,Private,,9.0,,37.75406001,-122.3910352
175257,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,774 Athens St,1.0,Sidewalk: Curb side : Cutout,Private,,1.0,Width 2ft,37.71583621,-122.4329054
219930,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,465 Diamond St,1.0,Sidewalk: Curb side : Cutout,Private,,3.0,Width 3ft,37.75499431,-122.436584
219870,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,104 Wool St,1.0,Sidewalk: Curb side : Cutout,Private,,4.0,Width 3ft,37.74031475,-122.4170945
89632,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3535 Anza St,1.0,Sidewalk: Curb side : Cutout,DPW,3/21/2008,3.0,3x3,37.7780136,-122.4863069
47943,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,497 Joost Ave,1.0,Sidewalk: Curb side : Cutout,Private,6/26/2002,,,37.73226572,-122.4464783
2096,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1000X Bosworth St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/2006,3.0,3X3,37.73447728,-122.4383226
37031,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,226 30th St,1.0,Sidewalk: Curb side : Cutout,Private,6/1/1998,,,37.74226918,-122.4248727
86020,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1538 28th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1/4/2007,3.0,3x3,37.75862306,-122.4863857
111244,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,799X SANCHEZ ST,2.0,Sidewalk: Curb side : Cutout,Private,9/9/2015,36.0,3x3,37.75675623,-122.4301553
52105,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,651 Rockdale Dr,1.0,Sidewalk: Curb side : Cutout,Private,10/26/2005,,,37.74082111,-122.450487
52556,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1670 39th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1/12/2006,4.0,,37.75573064,-122.4979974
205068,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,851 Junipero Serra Blvd,9.0,Sidewalk: Curb side : Yard,Private,,5.0,Width 3ft,37.72257633,-122.4721201
